 1148.6000 10.776  1.2
 1149.8000 10.762  1.2
 1151.0000 10.824  1.2
 1152.2000 10.863  1.2
 1153.4000 10.866  1.2
 1154.5000 10.887  1.1
 1155.7000 10.852  1.2
 1156.9000 10.798  1.2
 1158.1000 10.806  1.2
 1159.3000 10.817  1.2
 1160.4000 10.808  1.1
 1161.6000 10.739  1.2
 1162.8000 10.718  1.2
 1164.0000 10.743  1.2
 1165.2000 10.770  1.2
 1166.3000 10.798  1.1
 1167.5000 10.833  1.2
 1168.7000 10.856  1.2
 1169.9000 10.889  1.2
 1171.1000 10.983  1.2
 1172.2000 11.101  1.1
 1173.4000 11.177  1.2
 1174.6000 11.207  1.2
 1175.8000 11.172  1.2
 1177.0000 11.054  1.2
 1178.1000 10.948  1.1
 1179.3000 10.865  1.2
 1180.5000 10.802  1.2
 1181.7000 10.761  1.2
 1182.9000 10.756  1.2
 1184.0000 10.766  1.1
 1185.2000 10.791  1.2
 1186.4000 10.827  1.2
 1187.6000 10.862  1.2
 1188.8000 10.900  1.2
 1189.9000 10.938  1.1
 1191.1000 10.937  1.2
 1192.3000 10.957  1.2
 1193.5000 10.971  1.2
 1194.7000 10.986  1.2
 1195.8000 10.988  1.1
 1197.0000 10.987  1.2
 1198.2000 11.006  1.2
 1199.4000 11.053  1.2
 1200.6000 11.104  1.2
 1201.7000 11.121  1.1
 1202.9000 11.154  1.2
 1204.1000 11.219  1.2
 1205.3000 11.286  1.2
 1206.5000 11.272  1.2
 1207.6000 11.206  1.1
 1208.8000 11.142  1.2
 1210.0000 11.125  1.2
 1211.2000 11.177  1.2
 1212.4000 11.254  1.2
 1213.5000 11.394  1.1
 1214.7000 11.479  1.2
 1215.9000 11.468  1.2
 1217.1000 11.354  1.2
 1218.3000 11.214  1.2
 1219.4000 11.095  1.1
 1220.6000 10.999  1.2
 1221.8000 10.921  1.2
 1223.0000 10.861  1.2
 1224.2000 10.811  1.2
 1225.3000 10.805  1.1
 1226.5000 10.797  1.2
 1227.7000 10.787  1.2
 1228.9000 10.770  1.2
 1230.0000 10.748  1.1
 1231.2000 10.719  1.2
 1232.4000 10.698  1.2
 1233.6000 10.689  1.2
 1234.8000 10.671  1.2
 1235.9000 10.646  1.1
 1237.1000 10.644  1.2
 1238.3000 10.645  1.2
 1239.5000 10.629  1.2
 1240.7000 10.623  1.2
 1241.8000 10.637  1.1
 1243.0000 10.652  1.2
 1244.2000 10.665  1.2
 1245.4000 10.676  1.2
 1246.6000 10.690  1.2
 1247.7000 10.690  1.1
 1248.9000 10.711  1.2
 1250.1000 10.723  1.2
 1251.3000 10.712  1.2
 1252.5000 10.699  1.2
 1253.6000 10.697  1.1
 1254.8000 10.704  1.2
 1256.0000 10.725  1.2
 1257.2000 10.774  1.2
 1258.4000 10.821  1.2
 1259.5000 10.822  1.1
 1260.7000 10.783  1.2
 1261.9000 10.720  1.2
 1263.1000 10.687  1.2
 1264.3000 10.673  1.2
 1265.4000 10.666  1.1
 1266.6000 10.647  1.2
 1267.8000 10.632  1.2
 1269.0000 10.621  1.2
 1270.2000 10.606  1.2
 1271.3000 10.605  1.1
 1272.5000 10.619  1.2
 1273.7000 10.629  1.2
 1274.9000 10.627  1.2
 1276.1000 10.637  1.2
 1277.2000 10.632  1.1
 1278.4000 10.607  1.2
 1279.6000 10.583  1.2
 1280.8000 10.577  1.2
 1282.0000 10.595  1.2
 1283.1000 10.601  1.1
 1284.3000 10.605  1.2
 1285.5000 10.595  1.2
 1286.7000 10.591  1.2
 1287.9000 10.591  1.2
 1289.0000 10.592  1.1
