 1148.6000  9.717  1.2
 1149.8000  9.672  1.2
 1151.0000  9.644  1.2
 1152.2000  9.620  1.2
 1153.4000  9.654  1.2
 1154.5000  9.635  1.1
 1155.7000  9.639  1.2
 1156.9000  9.639  1.2
 1158.1000  9.584  1.2
 1159.3000  9.584  1.2
 1160.4000  9.582  1.1
 1161.6000  9.573  1.2
 1162.8000  9.552  1.2
 1164.0000  9.568  1.2
 1165.2000  9.584  1.2
 1166.3000  9.575  1.1
 1167.5000  9.600  1.2
 1168.7000  9.599  1.2
 1169.9000  9.607  1.2
 1171.1000  9.610  1.2
 1172.2000  9.606  1.1
 1173.4000  9.650  1.2
 1174.6000  9.696  1.2
 1175.8000  9.738  1.2
 1177.0000  9.723  1.2
 1178.1000  9.657  1.1
 1179.3000  9.641  1.2
 1180.5000  9.617  1.2
 1181.7000  9.591  1.2
 1182.9000  9.581  1.2
 1184.0000  9.553  1.1
 1185.2000  9.581  1.2
 1186.4000  9.607  1.2
 1187.6000  9.629  1.2
 1188.8000  9.656  1.2
 1189.9000  9.683  1.1
 1191.1000  9.707  1.2
 1192.3000  9.730  1.2
 1193.5000  9.720  1.2
 1194.7000  9.746  1.2
 1195.8000  9.769  1.1
 1197.0000  9.791  1.2
 1198.2000  9.793  1.2
 1199.4000  9.769  1.2
 1200.6000  9.745  1.2
 1201.7000  9.709  1.1
 1202.9000  9.681  1.2
 1204.1000  9.703  1.2
 1205.3000  9.725  1.2
 1206.5000  9.744  1.2
 1207.6000  9.741  1.1
 1208.8000  9.747  1.2
 1210.0000  9.752  1.2
 1211.2000  9.830  1.2
 1212.4000  9.932  1.2
 1213.5000 10.105  1.1
 1214.7000 10.242  1.2
 1215.9000 10.393  1.2
 1217.1000 10.294  1.2
 1218.3000 10.134  1.2
 1219.4000 10.023  1.1
 1220.6000  9.922  1.2
 1221.8000  9.855  1.2
 1223.0000  9.800  1.2
 1224.2000  9.754  1.2
 1225.3000  9.730  1.1
 1226.5000  9.705  1.2
 1227.7000  9.744  1.2
 1228.9000  9.777  1.2
 1230.0000  9.798  1.1
 1231.2000  9.811  1.2
 1232.4000  9.822  1.2
 1233.6000  9.825  1.2
 1234.8000  9.836  1.2
 1235.9000  9.838  1.1
 1237.1000  9.839  1.2
 1238.3000  9.879  1.2
 1239.5000  9.919  1.2
 1240.7000  9.938  1.2
 1241.8000  9.952  1.1
 1243.0000  9.946  1.2
 1244.2000  9.905  1.2
 1245.4000  9.865  1.2
 1246.6000  9.866  1.2
 1247.7000  9.848  1.1
 1248.9000  9.861  1.2
 1250.1000  9.878  1.2
 1251.3000  9.896  1.2
 1252.5000  9.915  1.2
 1253.6000  9.925  1.1
 1254.8000  9.915  1.2
 1256.0000  9.904  1.2
 1257.2000  9.900  1.2
 1258.4000  9.916  1.2
 1259.5000  9.916  1.1
 1260.7000  9.916  1.2
 1261.9000  9.895  1.2
 1263.1000  9.840  1.2
 1264.3000  9.832  1.2
 1265.4000  9.848  1.1
 1266.6000  9.863  1.2
 1267.8000  9.845  1.2
 1269.0000  9.827  1.2
 1270.2000  9.819  1.2
 1271.3000  9.819  1.1
 1272.5000  9.828  1.2
