            3.360000E3     8.584536E-1     8.294599E-1
            3.890000E3     4.969628E-1     5.206454E-1
            4.210000E3     3.708055E-1     3.894261E-1
            4.550000E3     2.924621E-1     2.751056E-1
            4.920000E3     2.518574E-1     2.544744E-1
            5.270000E3     2.359891E-1     2.002471E-1
            5.795000E3     2.124298E-1     2.204036E-1
            6.075000E3     1.931317E-1     1.967877E-1
            6.660000E3     1.464695E-1     1.442181E-1
            7.050000E3     1.173081E-1     1.176678E-1
            7.215000E3     1.069081E-1     1.393058E-1
            7.490000E3     9.354749E-2     1.066529E-1
            8.020000E3     8.550207E-2     8.733950E-2
            8.480000E3     9.090973E-2     1.042442E-1
            9.190000E3     9.606737E-2     7.724528E-2
            9.745000E3     7.519664E-2     6.485767E-2
